epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,119.417,0.43336,0.99561,1,0.02319,0.000332356,0.000332356,0.0670968
2,224.833,0.14496,0.98977,1,0.02098,0.000652509,0.000652509,0.0340836
3,325.752,0.1191,0.99854,1,0.00782,0.000959461,0.000959461,0.00105721
4,424.633,0.09142,0.99561,1,0.01552,0.0009406,0.0009406,0.0009406
5,522.77,0.08791,0.99854,1,0.0086,0.0009208,0.0009208,0.0009208
6,621.083,0.07994,0.99708,1,0.01119,0.000901,0.000901,0.000901
7,724.598,0.07592,0.99854,1,0.01113,0.0008812,0.0008812,0.0008812
8,829.252,0.05232,0.99561,1,0.01047,0.0008614,0.0008614,0.0008614
9,928.585,0.05523,0.99561,1,0.02102,0.0008416,0.0008416,0.0008416
10,1028.76,0.05163,0.99854,1,0.00456,0.0008218,0.0008218,0.0008218
11,1141.59,0.05369,0.99854,1,0.00327,0.000802,0.000802,0.000802
12,1264.19,0.0659,0.99854,1,0.00257,0.0007822,0.0007822,0.0007822
13,1383.12,0.04356,0.99708,1,0.02224,0.0007624,0.0007624,0.0007624
