epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.2703,0.44627,0.98283,1,0.06505,0.000331429,0.000331429,0.0671886
2,125.649,0.16295,0.97997,1,0.06469,0.0006516,0.0006516,0.0341754
3,184.345,0.11407,0.99142,1,0.02735,0.000958571,0.000958571,0.00114905
4,243.156,0.14157,0.98999,1,0.02483,0.0009406,0.0009406,0.0009406
5,301.378,0.10291,0.99285,1,0.02523,0.0009208,0.0009208,0.0009208
6,359.39,0.10151,0.99571,1,0.01646,0.000901,0.000901,0.000901
7,417.519,0.07723,0.99714,1,0.01573,0.0008812,0.0008812,0.0008812
8,476.41,0.08063,0.99285,1,0.02288,0.0008614,0.0008614,0.0008614
9,535.687,0.06244,0.99428,1,0.0165,0.0008416,0.0008416,0.0008416
10,595.082,0.06834,0.99571,1,0.01297,0.0008218,0.0008218,0.0008218
11,654.41,0.07152,0.99285,1,0.01735,0.000802,0.000802,0.000802
12,713.706,0.06562,0.99285,1,0.02002,0.0007822,0.0007822,0.0007822
13,772.456,0.04719,0.99285,1,0.01538,0.0007624,0.0007624,0.0007624
14,831.612,0.04166,0.99571,1,0.01091,0.0007426,0.0007426,0.0007426
15,891.204,0.0464,0.99428,1,0.02073,0.0007228,0.0007228,0.0007228
16,949.968,0.04438,0.99571,1,0.01143,0.000703,0.000703,0.000703
17,1009.6,0.04722,0.99571,1,0.01223,0.0006832,0.0006832,0.0006832
